AC_No,Constituency_Name,MLA_Name,Party,District
138,Panyam,Katasani Rambhupal Reddy,YSRCP,Nandyal
139,Nandyal,Shilpa Ravi Chandra Kishore Reddy,YSRCP,Nandyal
140,Banaganapalle,Katasani Rami Reddy,YSRCP,Nandyal
141,Dhone,Buggana Raja Reddy,YSRCP,Nandyal
142,Pattikonda,Kangati Sreedevi,YSRCP,Kurnool
143,Kodumur,Jaradoddi Sudhakar,YSRCP,Kurnool
144,Yemmiganur,K Chennakesava Reddy,YSRCP,Kurnool
145,Mantralayam,Y. Balanagi Reddy,YSRCP,Kurnool
146,Adoni,Y. Sai Prasad Reddy,YSRCP,Kurnool
147,Alur,Gummanur Jayaram,YSRCP,Kurnool
148,Rayadurg,Kapu Ramachandra Reddy,YSRCP,Anantapuramu
149,Uravakonda,Payyavula Keshav,TDP,Anantapuramu
150,Guntakal,Y. Venkatarama Reddy,YSRCP,Anantapuramu
151,Tadipatri,K. Pedda Reddy,YSRCP,Anantapuramu
152,Singanamala,Padmavathy Jonnalagadda,YSRCP,Anantapuramu
153,Anantapur urban,Anantha Venkatarami Reddy,YSRCP,Anantapuramu
154,KALYANDURG,K.V. Usha Sricharan,YSRCP,Anantapuramu
155,Raptadu,Thopudurthi Prakash Reddy,YSRCP,Anantapuramu
156,Madakasira,M Thippeswamy,YSRCP,Sri Sathya Sai
157,Hindupur,Nandamuri Balakrishna,TDP,Sri Sathya Sai
158,Penukonda,Malagundla Sankaranarayana,YSRCP,Sri Sathya Sai
159,Puttaparthi,Duddukunta Sreedhar Reddy,YSRCP,Sri Sathya Sai
160,Dharmavaram,Kethireddy Venkatarami Reddy,YSRCP,Sri Sathya Sai
161,Kadiri,P.V. Sidda Reddy,YSRCP,Sri Sathya Sai
162,Thamballapalle,Peddireddy Dwarakanatha Reddy,YSRCP,Annamayya
163,Pileru,Chinthala Ramachandra Reddy,YSRCP,Annamayya
164,Madanapalle,M. Nawaz Basha,YSRCP,Annamayya
165,Punganur,Peddireddi Ramachandra Reddy,YSRCP,Chittoor
166,Chandragiri,Dr.Chevireddy Bhaskar Reddy,YSRCP,Chittoor
167,Tirupati,Bhumana Karunakar Reddy,YSRCP,Tirupati
168,Srikalahasti,Biyyapu Madhusudhan Reddy,YSRCP,Tirupati
169,Satyavedu,Adimulam Koneti,YSRCP,Tirupati
170,Nagari,R.K. Roja,YSRCP,Chittoor
171,Gangadhara Nellore,K. Narayana Swamy,YSRCP,Chittoor
172,Chittoor,Aranii Srenevasulu (Jangalapalli),YSRCP,Chittoor
173,Puthalapattu,M. Babu,YSRCP,Chittoor
174,Palamaner,N Venkate Gowda,YSRCP,Chittoor
175,Kuppam,Nara Chandra Babu Naidu,TDP,Chittoor
